epoch,accuracy,loss,val_accuracy,val_loss
0,0.4276224672794342,2.1445913314819336,0.5187320113182068,1.5847967863082886
1,0.5361195802688599,1.377933382987976,0.5014409422874451,1.9071125984191895
2,0.615001380443573,1.1481493711471558,0.5936599373817444,1.283976674079895
3,0.6484915614128113,0.9792117476463318,0.5504322648048401,1.4380370378494263
4,0.6947135329246521,0.8911734223365784,0.5043227672576904,1.9349007606506348
5,0.7223913669586182,0.7899461388587952,0.579250693321228,1.6499730348587036
6,0.7351231575012207,0.802566409111023,0.5677233338356018,1.4896732568740845
7,0.7813451290130615,0.6270109415054321,0.5129683017730713,1.7564101219177246
8,0.7287572622299194,0.8624333739280701,0.4755043089389801,2.3866913318634033
9,0.7766399383544922,0.6457025408744812,0.5417867302894592,1.8806110620498657
10,0.7846664786338806,0.6934818029403687,0.5129683017730713,2.2637975215911865
11,0.820647656917572,0.5358642339706421,0.559077799320221,2.1036176681518555
12,0.8209244608879089,0.5294967293739319,0.5504322648048401,2.359031915664673
13,0.7868807315826416,0.722122073173523,0.5331411957740784,2.588557720184326
14,0.7910323739051819,0.6731695532798767,0.5187320113182068,2.834646463394165
15,0.8292278051376343,0.5547870993614197,0.559077799320221,2.708115339279175
16,0.8402988910675049,0.5534579157829285,0.4812680184841156,3.9183225631713867
17,0.8242457509040833,0.6476007699966431,0.530259370803833,3.337454080581665
18,0.8247993588447571,0.6273813247680664,0.559077799320221,2.827467918395996
19,0.8369776010513306,0.5875808000564575,0.5389049053192139,3.076974630355835
20,0.874896228313446,0.4120575189590454,0.559077799320221,3.4592182636260986
21,0.8339329957962036,0.6240135431289673,0.5475504398345947,3.6237387657165527
22,0.8638250827789307,0.4922466278076172,0.5648415088653564,3.339090585708618
23,0.8757265210151672,0.4601946771144867,0.5360230803489685,4.047635078430176
24,0.8499861359596252,0.6294868588447571,0.5475504398345947,3.8043997287750244
