epoch,accuracy,loss,val_accuracy,val_loss
0,0.386382520198822,1.3243012428283691,0.46109509468078613,1.2539188861846924
1,0.6545806527137756,0.9815295338630676,0.6599423885345459,0.8863494396209717
2,0.793523371219635,0.5877965688705444,0.7031700015068054,0.7826786041259766
3,0.8350401520729065,0.4351048767566681,0.6772334575653076,0.7830939888954163
4,0.8796014189720154,0.3384299576282501,0.7002881765365601,0.8205879330635071
5,0.8975920081138611,0.2825793921947479,0.6858789920806885,0.8518025875091553
6,0.9197342991828918,0.23392771184444427,0.6916426420211792,0.8945501446723938
7,0.9388319849967957,0.19259463250637054,0.7031700015068054,0.9415079951286316
8,0.9510102272033691,0.16728633642196655,0.6887608170509338,1.006643295288086
9,0.9584832787513733,0.1433291733264923,0.7031700015068054,1.1093741655349731
10,0.9606974720954895,0.12987811863422394,0.6858789920806885,1.1862388849258423
11,0.9665098190307617,0.11788976937532425,0.6887608170509338,1.2168419361114502
12,0.9678937196731567,0.10402694344520569,0.680115282535553,1.2845203876495361
13,0.971491813659668,0.09688729047775269,0.6714697480201721,1.3233234882354736
14,0.972045361995697,0.09230504930019379,0.6887608170509338,1.3912224769592285
15,0.9709382653236389,0.09400525689125061,0.6714697480201721,1.4199469089508057
16,0.9739828109741211,0.08773267269134521,0.6858789920806885,1.4157413244247437
17,0.972875714302063,0.08678945899009705,0.6685879230499268,1.4372432231903076
18,0.976473867893219,0.07847227901220322,0.6743515729904175,1.5142189264297485
19,0.9761970639228821,0.07626868039369583,0.6628242135047913,1.5179376602172852
20,0.9797951579093933,0.0703016147017479,0.6685879230499268,1.5615304708480835
21,0.977027416229248,0.07119226455688477,0.6772334575653076,1.6052601337432861
22,0.9778577089309692,0.06814942508935928,0.6628242135047913,1.6336511373519897
23,0.9773041605949402,0.07317294180393219,0.6743515729904175,1.6715140342712402
24,0.977027416229248,0.06855049729347229,0.6714697480201721,1.71514892578125
